"","pointType","ID","xLocation","yLocation","minkoOrder","xSalience","ySalience","lossOrder"
"1","voter","V-1",0.107699679443613,0.902841367293149,2,1,1,2
"2","voter","V-2",0.743213813053444,0.743438328616321,2,1,1,2
"3","voter","V-3",0.395990764256567,0.0806745162699372,2,1,1,2
"4","voter","V-4",0.903202533023432,0.150919882114977,2,1,1,2
"5","voter","V-5",0.902820396237075,0.382273079128936,2,1,1,2
"6","voter","V-6",0.33660747227259,0.270091583253816,2,1,1,2
"7","voter","V-7",0.738481541629881,0.305011730408296,2,1,1,2
"8","voter","V-8",0.912658249260858,0.640268043847755,2,1,1,2
"9","voter","V-9",0.653354762354866,0.91362829064019,2,1,1,2
"10","voter","V-10",0.393428283976391,0.715129161719233,2,1,1,2
"11","voter","V-11",0.456737082218751,0.973881640238687,2,1,1,2
"12","voter","V-12",0.201565000927076,0.64660553727299,2,1,1,2
"13","voter","V-13",0.0518573517911136,0.678895471151918,2,1,1,2
"14","voter","V-14",0.86733741639182,0.549411719664931,2,1,1,2
"15","voter","V-15",0.677719257539138,0.554703071247786,2,1,1,2
"16","voter","V-16",0.238976766122505,0.728555731475353,2,1,1,2
"17","voter","V-17",0.498761588940397,0.92373954760842,2,1,1,2
"18","voter","V-18",0.624395358609036,0.678842080989853,2,1,1,2
"19","voter","V-19",0.174036279320717,0.924465781310573,2,1,1,2
"20","voter","V-20",0.572692887857556,0.6419517993927,2,1,1,2
"21","voter","V-21",0.0525604214053601,0.140151639934629,2,1,1,2
"22","voter","V-22",0.638507031602785,0.0463184947147965,2,1,1,2
"23","voter","V-23",0.809038459090516,0.309100394602865,2,1,1,2
"24","voter","V-24",0.159295940771699,0.463392166886479,2,1,1,2
"25","voter","V-25",0.560619268333539,0.728381553431973,2,1,1,2
"26","voter","V-26",0.878857447998598,0.66308115189895,2,1,1,2
"27","voter","V-27",0.259562209015712,0.0940230903215706,2,1,1,2
"28","voter","V-28",0.0350386030040681,0.196655829669908,2,1,1,2
"29","voter","V-29",0.359544651582837,0.126045822398737,2,1,1,2
"30","voter","V-30",0.669213584857062,0.622918766224757,2,1,1,2
"31","voter","V-31",0.260071398923174,0.753546769963577,2,1,1,2
"32","voter","V-32",0.757570896996185,0.667512378189713,2,1,1,2
"33","voter","V-33",0.43262875918299,0.156345658237115,2,1,1,2
"34","voter","V-34",0.132222132757306,0.335021832725033,2,1,1,2
"35","voter","V-35",0.54465067666024,0.578463333891705,2,1,1,2
"36","voter","V-36",0.710779536049813,0.95184372109361,2,1,1,2
"37","voter","V-37",0.626318872673437,0.251787507440895,2,1,1,2
"38","voter","V-38",0.053495537256822,0.960667264182121,2,1,1,2
